date,daily_mean_temprature
2014/4/1,13.9
2014/4/2,15.2
2014/4/3,13.8
2014/4/4,15.3
2014/4/5,11.4
2014/4/6,9.0
2014/4/7,11.4
2014/4/8,15.8
2014/4/9,15.5
2014/4/10,16.1
2014/4/11,12.9
2014/4/12,14.6
2014/4/13,14.4
2014/4/14,14.0
2014/4/15,16.3
2014/4/16,18.7
2014/4/17,17.7
2014/4/18,11.8
2014/4/19,11.7
2014/4/20,11.0
2014/4/21,13.4
2014/4/22,15.2
2014/4/23,16.2
2014/4/24,16.6
2014/4/25,17.8
2014/4/26,18.2
2014/4/27,18.1
2014/4/28,18.6
2014/4/29,17.8
2014/4/30,16.7
2014/5/1,20.6
2014/5/2,21.0
2014/5/3,21.3
2014/5/4,18.6
2014/5/5,18.1
2014/5/6,14.3
2014/5/7,16.5
2014/5/8,18.7
2014/5/9,19.3
2014/5/10,19.8
2014/5/11,20.6
2014/5/12,19.6
2014/5/13,19.3
2014/5/14,21.9
2014/5/15,19.9
2014/5/16,21.5
2014/5/17,21.1
2014/5/18,20.5
2014/5/19,21.1
2014/5/20,21.7
2014/5/21,17.5
2014/5/22,18.6
2014/5/23,17.8
2014/5/24,20.6
2014/5/25,22.7
2014/5/26,21.3
2014/5/27,21.4
2014/5/28,22.7
2014/5/29,23.1
2014/5/30,24.1
2014/5/31,25.6
2014/6/1,26.6
2014/6/2,25.5
2014/6/3,24.0
2014/6/4,24.3
2014/6/5,21.2
2014/6/6,19.9
2014/6/7,18.4
2014/6/8,20.5
2014/6/9,22.9
2014/6/10,23.5
2014/6/11,22.2
2014/6/12,22.0
2014/6/13,24.9
2014/6/14,24.7
2014/6/15,24.4
2014/6/16,25.0
2014/6/17,24.3
2014/6/18,23.2
2014/6/19,24.8
2014/6/20,24.6
2014/6/21,24.6
2014/6/22,22.5
2014/6/23,24.2
2014/6/24,22.6
2014/6/25,22.6
2014/6/26,23.6
2014/6/27,23.9
2014/6/28,22.8
2014/6/29,23.3
2014/6/30,23.6
2014/7/1,25.3
2014/7/2,25.8
2014/7/3,24.8
2014/7/4,21.6
2014/7/5,22.0
2014/7/6,24.2
2014/7/7,23.4
2014/7/8,26.8
2014/7/9,24.2
2014/7/10,26.6
2014/7/11,28.5
2014/7/12,29.2
2014/7/13,26.9
2014/7/14,28.5
2014/7/15,28.2
2014/7/16,28.0
2014/7/17,27.1
2014/7/18,24.9
2014/7/19,23.8
2014/7/20,24.5
2014/7/21,25.0
2014/7/22,27.7
2014/7/23,29.4
2014/7/24,29.9
2014/7/25,30.5
2014/7/26,30.5
2014/7/27,30.1
2014/7/28,27.7
2014/7/29,27.6
2014/7/30,27.9
2014/7/31,29.5
2014/8/1,29.8
2014/8/2,30.9
2014/8/3,31.0
2014/8/4,30.5
2014/8/5,31.1
2014/8/6,30.8
2014/8/7,29.7
2014/8/8,29.0
2014/8/9,25.4
2014/8/10,26.3
2014/8/11,29.4
2014/8/12,26.3
2014/8/13,26.7
2014/8/14,27.1
2014/8/15,29.5
2014/8/16,27.0
2014/8/17,26.2
2014/8/18,29.1
2014/8/19,30.3
2014/8/20,31.1
2014/8/21,30.5
2014/8/22,30.2
2014/8/23,27.6
2014/8/24,28.4
2014/8/25,27.0
2014/8/26,25.2
2014/8/27,21.2
2014/8/28,21.1
2014/8/29,23.3
2014/8/30,22.6
2014/8/31,23.2
2014/9/1,21.8
2014/9/2,24.5
2014/9/3,24.1
2014/9/4,25.2
2014/9/5,27.8
2014/9/6,27.3
2014/9/7,21.7
2014/9/8,22.1
2014/9/9,23.5
2014/9/10,23.4
2014/9/11,21.8
